Position;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10
1;9;4;31;3;13;61;36;18;30;3
2;3;3;10;3;8;10;16;5;8;2
3;2;2;8;2;5;10;6;4;8;2
4;2;2;7;2;3;5;6;4;7;2
5;2;2;5;2;1;5;5;3;6;2
6;1;2;5;2;1;4;3;3;5;2
7;1;2;5;1;1;2;3;3;3;2
8;1;2;3;1;1;2;3;3;3;2
9;1;2;3;1;1;2;3;2;2;2
10;1;2;2;1;1;2;3;2;2;2
11;1;1;2;1;1;1;2;2;2;2
12;1;1;1;1;1;1;2;2;1;2
13;1;1;1;1;0;1;2;2;1;1
14;1;1;1;1;0;1;2;2;1;1
15;1;1;1;1;0;1;2;2;1;1
16;1;1;1;1;0;1;2;2;1;1
17;1;1;1;1;0;1;2;2;1;1
18;1;1;1;1;0;1;2;2;1;1
19;1;1;1;1;0;1;1;2;1;1
20;1;1;1;1;0;0;1;2;1;1